COL.ID,SEASON,SITE,SPECIES,SE,PE,PC,LPC,Col,WE,TAG,FFA,storage,structural,STOSTR
OT-AN10,1_SM18,OT,AN,0,0.080607377,0.102493772,0.065473131,0.062585414,0.071855838,0.153891277,0.46309319,0.688840305,0.311159694,2.213783849
OT-AN12,1_SM18,OT,AN,0.000213599,0.049026414,0.095790873,0.037864971,0.032217267,0.172840031,0.352045816,0.260001028,0.785100474,0.214899525,3.65333741
OT-AN13,1_SM18,OT,AN,0,0.098850964,0.111986859,0.066828416,0.069174125,0.055404928,0.145955732,0.451798976,0.653159636,0.346840364,1.883170772
OT-AN5,2_FL,OT,AN,0.000196393,0.065673484,0.05384833,0.039826621,0.082402468,0.304815226,0.174422434,0.278815045,0.758249098,0.241750903,3.136489207
OT-AN8,2_FL,OT,AN,0,0.114995686,0.188546636,0.019074354,0.144949083,0.179142202,0,0.35329204,0.532434242,0.467565759,1.138736599
OT-AN9,2_FL,OT,AN,0.006403646,0.071948968,0.08555886,0.049538822,0.069385548,0.251880675,0.193613785,0.271669696,0.723567802,0.276432198,2.6175236
OT-AN10,2_FL,OT,AN,0.001567301,0.081014824,0.071039272,0.049640811,0.079251154,0.291162883,0.178438143,0.247885613,0.71905394,0.280946061,2.559402105
OT-AN12,2_FL,OT,AN,0.000355704,0.09314232,0.132974792,0.054524051,0.106366528,0.220727756,0.108286136,0.283622714,0.61299231,0.387007691,1.583927979
OT-AN13,2_FL,OT,AN,0.004336316,0.074162611,0.105743066,0.043067865,0.061612317,0.246173242,0.251310993,0.213593589,0.71541414,0.284585859,2.513878035
OT-AN5,3_WNT,OT,AN,0.000949907,0.010337355,0.105492059,0.062413652,0.056801868,0.070210455,0.057996513,0.635798192,0.764955067,0.235044934,3.254505656
OT-AN8,3_WNT,OT,AN,0,0.017584575,0.180625213,0.058808887,0.064932236,0.005410989,0.008363527,0.664274573,0.678049089,0.321950911,2.106063582
OT-AN9,3_WNT,OT,AN,0.009460386,0.003420113,0.08347233,0.058063624,0.047798269,0.168028018,0.157166505,0.472590755,0.807245664,0.192754336,4.18795074
OT-AN10,3_WNT,OT,AN,0.005394918,0.04538023,0.09902897,0.061850306,0.051111455,0.128476885,0.095341828,0.513415408,0.742629039,0.257370961,2.885442227
OT-AN12,3_WNT,OT,AN,0.000475467,0.05886502,0.131284067,0.057363485,0.047526871,0.14171698,0.109387655,0.453380456,0.704960558,0.295039443,2.389377335
OT-AN13,3_WNT,OT,AN,0.00338423,0.030010995,0.111504203,0.072654802,0.052710917,0.08233833,0.077849569,0.569546955,0.733119084,0.266880917,2.746989527
OT-AN5,4_SP,OT,AN,0,0.009523349,0.124122543,0.057142975,0.114202334,0.1495148,0.159470822,0.386023177,0.695008799,0.304991201,2.278783115
OT-AN8,4_SP,OT,AN,0,0.008453919,0.158689828,0.040762222,0.090927711,0.089116755,0.046363091,0.565686473,0.701166319,0.29883368,2.346343019
OT-AN9,4_SP,OT,AN,0.004708909,0.002841436,0.050803193,0.026882928,0.050526146,0.134416661,0.151661384,0.578159344,0.868946298,0.131053703,6.630459713
OT-AN10,4_SP,OT,AN,0.00198514,0.005370554,0.086802804,0.050076767,0.071117301,0.146044932,0.259778476,0.378824026,0.786632574,0.213367426,3.686751013
OT-AN12,4_SP,OT,AN,0.002671527,0.016673818,0.209339782,0.096936495,0.113469176,0.094510665,0,0.466398536,0.563580728,0.436419271,1.291374523
OT-AN13,4_SP,OT,AN,0,0.00831171,0.145540298,0.04359154,0.086973006,0.148540017,0.172810111,0.394233319,0.715583447,0.284416554,2.515969753
OT-AN5,5_SM19,OT,AN,0,0.025476595,0.207024516,0.052575493,0.054528074,0.196390657,0.016443982,0.447560684,0.660395323,0.339604678,1.944600195
OT-AN8,5_SM19,OT,AN,0,0.079491636,0.132823594,0.044169508,0.037017413,0.181936617,0.093883802,0.43067743,0.706497849,0.293502151,2.407130055
OT-AN9,5_SM19,OT,AN,0.004540632,0.064221656,0.095965853,0.046871791,0.043494777,0.205461469,0.077491743,0.46195208,0.749445924,0.250554077,2.991154377
OT-AN10,5_SM19,OT,AN,0,0.041192899,0.082348901,0.028281206,0.028659988,0.241750202,0.215093782,0.362673023,0.819517007,0.180482994,4.540688232
OT-AN12,5_SM19,OT,AN,7.53E-05,0.073926313,0.145645694,0.044697074,0.040003477,0.181234315,0.073605856,0.440812019,0.69572749,0.304272558,2.286527233
OT-AN13,5_SM19,OT,AN,0.001741794,0.043158329,0.098641616,0.039386135,0.03672067,0.26885426,0.07212519,0.439372005,0.782093249,0.21790675,3.589118965
WT-AN1,1_SM18,WT,AN,0,0.068911017,0.166795095,0.082088385,0.06317321,0.071293779,0.178112126,0.369626388,0.619032293,0.380967707,1.624894398
WT-AN3,1_SM18,WT,AN,0,0.069591876,0.145040912,0.077806779,0.057331247,0.077430862,0.160191811,0.412606513,0.650229186,0.349770814,1.859014989
WT-AN5,1_SM18,WT,AN,0.000399936,0.03537202,0.073182368,0.041623779,0.033731878,0.197446629,0.379825324,0.238418065,0.816089954,0.183910045,4.437440891
WT-AN6,1_SM18,WT,AN,0,0.063382609,0.128873338,0.064631175,0.053315405,0.116142539,0.252109197,0.321545737,0.689797473,0.310202527,2.223700367
WT-AN7,1_SM18,WT,AN,0,0.033460737,0.127062667,0.044683391,0.048737895,0.132422514,0.290844826,0.32278797,0.74605531,0.25394469,2.937865367
WT-AN8,1_SM18,WT,AN,0,0.025912892,0.108104593,0.058654017,0.050346287,0.078237127,0.228014839,0.450730246,0.756982212,0.243017789,3.114925105
WT-AN1,2_FL,WT,AN,0,0.0216348,0.059344489,0.018876029,0.066482991,0.365732476,0.240996773,0.226932442,0.833661691,0.166338309,5.011844211
WT-AN3,2_FL,WT,AN,0.00103256,0.051553212,0.111204209,0.048039709,0.098348276,0.243018764,0.120521524,0.326281746,0.690854594,0.309145406,2.234723792
WT-AN5,2_FL,WT,AN,0.001738556,0.007942317,0.041644606,0.017267625,0.055903108,0.347339063,0.273515732,0.254648993,0.877242344,0.122757656,7.146131432
WT-AN6,2_FL,WT,AN,0.001263267,0.031619524,0.058726436,0.018871499,0.065675498,0.318480421,0.279048989,0.226314365,0.825107042,0.174892957,4.717783129
WT-AN7,2_FL,WT,AN,0,0.017915764,0.160736082,0.017525469,0.125373836,0.219521781,0.066736805,0.392190263,0.678448849,0.321551151,2.109925114
WT-AN8,2_FL,WT,AN,0.002067709,0.007209853,0.085778683,0.022802042,0.080543033,0.268407533,0.162709971,0.370481176,0.803666389,0.196333611,4.093371404
WT-AN1,3_WNT,WT,AN,0.001116129,0.00737697,0.119652116,0.056716811,0.051678398,0.108891048,0.1180504,0.536518127,0.764575704,0.235424295,3.247649967
WT-AN3,3_WNT,WT,AN,0.001194505,0.005872783,0.123507483,0.066575923,0.049584,0.114044857,0.085051223,0.554169224,0.754459809,0.245540189,3.072653043
WT-AN5,3_WNT,WT,AN,0,0.011134542,0.086139145,0.076720582,0.053821277,0.12586779,0.120571616,0.525745047,0.772184453,0.227815546,3.389516065
WT-AN6,3_WNT,WT,AN,0.002911118,0.006716534,0.131104357,0.069108589,0.048529148,0.118553938,0.13677682,0.486299496,0.744541372,0.255458628,2.914528187
WT-AN7,3_WNT,WT,AN,0.003633657,0.008964956,0.147820053,0.077804557,0.05525997,0.103201556,0.099224289,0.504090962,0.710150464,0.289849536,2.450065899
WT-AN8,3_WNT,WT,AN,0.00212108,0.034913417,0.121734432,0.065979975,0.046633337,0.130691372,0.149790943,0.448135445,0.73073884,0.269261161,2.713866483
WT-AN1,4_SP,WT,AN,0,0.0062979,0.145908709,0.04864373,0.072081799,0.196184043,0.206973767,0.323910052,0.727067862,0.272932138,2.663914434
WT-AN3,4_SP,WT,AN,0,0.015015781,0.268574046,0.11429226,0.135147426,0.11866688,0.015633174,0.332670433,0.466970487,0.533029513,0.876068727
WT-AN5,4_SP,WT,AN,0.004697392,0.008416948,0.187578679,0.073977893,0.097782545,0.162592971,0.220438965,0.244514606,0.632243934,0.367756065,1.719193765
WT-AN6,4_SP,WT,AN,0.000954991,0.015143138,0.320833793,0.158167729,0.137496004,0.102629924,0.016112986,0.248661435,0.368359336,0.631640664,0.583178628
WT-AN7,4_SP,WT,AN,0,0.047965235,0.311895713,0.207060682,0.1153116,0,0,0.31776677,0.31776677,0.68223323,0.465774395
WT-AN8,4_SP,WT,AN,0.004285973,0.012319275,0.251628468,0.088847801,0.131458273,0.182241587,0.040571933,0.28864669,0.515746183,0.484253817,1.065032768
WT-AN1,5_SM19,WT,AN,0,0.072971845,0.212922986,0.078342534,0.056556035,0.092108517,0.019365113,0.467732971,0.579206601,0.4207934,1.376463131
WT-AN3,5_SM19,WT,AN,0,0,0.166472658,0.010765406,0.028533089,0.065187287,0.014365869,0.714675692,0.794228848,0.205771153,3.859767691
WT-AN6,5_SM19,WT,AN,0,0.081322043,0.121976621,0.07029456,0.041139413,0.18850055,0.072402992,0.42436382,0.685267362,0.314732637,2.177299973
WT-AN8,5_SM19,WT,AN,0.000154915,0.049995366,0.097213263,0.036607904,0.029776868,0.254937162,0.201928925,0.329385596,0.786406598,0.213593401,3.681792576
WT-AN11,5_SM19,WT,AN,0.000544572,0.023343421,0.19441306,0.074685718,0.057144563,0.194926771,0.086676977,0.368264917,0.650413237,0.349586762,1.860520213
WT-AN14,5_SM19,WT,AN,0,0.02893669,0.189009799,0.064906177,0.049740441,0.174858308,0.059579251,0.432969334,0.667406893,0.332593107,2.006676864
OT-PL1,1_SM18,OT,PL,0,0,0.035425092,0,0.105069886,0.052308362,0.079264414,0.727932246,0.859505022,0.140494978,6.117692136
OT-PL4,1_SM18,OT,PL,0.00165887,0.040070264,0.056058116,0.010782523,0.029011771,0.181343265,0.340816849,0.340258342,0.864077326,0.135922674,6.357124243
OT-PL5,1_SM18,OT,PL,0,0.094851075,0.137765061,0.011559772,0.09528166,0.014196028,0.205701094,0.440645311,0.660542433,0.339457568,1.94587629
OT-PL6,1_SM18,OT,PL,0,0.109891459,0.144535724,0.019631381,0.06788817,0.066578407,0.160266069,0.431208791,0.658053267,0.341946734,1.924432087
OT-PL8,1_SM18,OT,PL,0.003561195,0.087821024,0.10839113,0.024205241,0.080683747,0.064932094,0.235636714,0.394768853,0.698898856,0.301101142,2.321143159
OT-PL9,1_SM18,OT,PL,0.001033138,0.086894225,0.099220761,0.015174747,0.041349227,0.176345111,0.214305232,0.365677559,0.75736104,0.24263896,3.121349679
OT-PL1,2_FL,OT,PL,0.024959648,0.089196478,0.167699397,0.056448985,0.23525403,0.031918472,0.061228712,0.333294278,0.45140111,0.54859889,0.822825416
OT-PL4,2_FL,OT,PL,0.004189797,0.047093551,0.073961105,0.017573018,0.085925854,0.152989999,0.230662408,0.387604268,0.775446472,0.224553528,3.453281179
OT-PL5,2_FL,OT,PL,0.003635971,0.090704495,0.159010778,0.042750926,0.206840761,0.146890966,0.133267998,0.216898104,0.500693039,0.49930696,1.002776006
OT-PL6,2_FL,OT,PL,0.002131903,0.079540162,0.111269658,0.027183863,0.103372456,0.120160439,0.211595445,0.344746073,0.67863386,0.321366139,2.11171551
OT-PL8,2_FL,OT,PL,0.005365562,0.063330887,0.117080557,0.032528579,0.121450459,0.178882112,0.33071928,0.150642565,0.665609519,0.334390482,1.990515744
OT-PL9,2_FL,OT,PL,0.004805394,0.086832581,0.147557522,0.044218542,0.118262065,0.115072777,0.143614566,0.339636553,0.60312929,0.39687071,1.519712276
OT-PL1,3_WNT,OT,PL,0.005493798,0.010993631,0.055662102,0.019599856,0.081279842,0.084632827,0.279620348,0.462717594,0.832464567,0.167535431,4.968886653
OT-PL4,3_WNT,OT,PL,0.002067075,0.013185249,0.066577069,0.023750375,0.08461957,0.094779647,0.229289003,0.485732013,0.811867738,0.188132263,4.31540941
OT-PL5,3_WNT,OT,PL,0,0.034636033,0.110446679,0.036456769,0.205126753,0.040684104,0.170612097,0.402037565,0.613333766,0.386666234,1.58620979
OT-PL6,3_WNT,OT,PL,0.002085204,0.015004875,0.08383424,0.031782142,0.104573835,0.088096021,0.160877535,0.513746148,0.764804908,0.235195092,3.251789404
OT-PL8,3_WNT,OT,PL,0.002460147,0.02459993,0.089113809,0.040018956,0.132375887,0.071089965,0.206876522,0.433464783,0.713891417,0.286108582,2.495176524
OT-PL9,3_WNT,OT,PL,0.000799052,0.018447963,0.083798597,0.032525187,0.100107441,0.072639553,0.087737437,0.603944769,0.765120811,0.234879188,3.257507902
OT-PL1,4_SP,OT,PL,0.00249982,0.003786641,0.170079774,0.064813228,0.079243205,0.068499193,0.099748185,0.511329954,0.682077152,0.317922848,2.145417218
OT-PL4,4_SP,OT,PL,0.008049775,0.00149586,0.060168645,0.020531939,0.029503789,0.228772062,0.236721814,0.414756115,0.888299766,0.111700233,7.952532794
OT-PL5,4_SP,OT,PL,0.00458104,0.002915142,0.113464503,0.041102364,0.050546232,0.184117321,0.361108046,0.242165352,0.791971759,0.208028241,3.807039637
OT-PL6,4_SP,OT,PL,0.000461242,0.004193834,0.145000002,0.052011427,0.051600057,0.116645675,0.208067649,0.422020112,0.747194678,0.25280532,2.955612951
OT-PL8,4_SP,OT,PL,0.00978129,0.002151586,0.092426773,0.036177714,0.043513149,0.184736471,0.317254402,0.313958614,0.825730777,0.174269222,4.73824791
OT-PL9,4_SP,OT,PL,0.002767988,0.001438119,0.059102944,0.022553508,0.028852854,0.254581762,0.124383341,0.506319484,0.888052575,0.111947425,7.932764644
OT-PL1,5_SM19,OT,PL,0.004252749,0.06286445,0.121407144,0.022769281,0.061952916,0.067509629,0.192969236,0.466274594,0.731006208,0.268993791,2.717557923
OT-PL4,5_SM19,OT,PL,0.004055825,0.053740648,0.063407791,0.0127906,0.034257425,0.139895701,0.260119275,0.431732734,0.835803535,0.164196464,5.090265129
OT-PL5,5_SM19,OT,PL,0.00721404,0.033719336,0.057326855,0.013166344,0.028576362,0.274123598,0.458024548,0.127848915,0.867211101,0.132788897,6.53075009
OT-PL6,5_SM19,OT,PL,0.000714533,0.065020098,0.066661498,0.019750039,0.032795131,0.215924536,0.352202763,0.2469314,0.815773232,0.184226766,4.428092886
OT-PL8,5_SM19,OT,PL,0.002776275,0.03171205,0.084663266,0.000821007,0.036687109,0.152102139,0.545635877,0.145602278,0.846116569,0.153883432,5.498425386
OT-PL9,5_SM19,OT,PL,0.002918624,0.060555272,0.095050741,0.015278003,0.038185706,0.125896075,0.312298588,0.349816991,0.790930278,0.209069722,3.783093364
WT-PL1,1_SM18,WT,PL,0.001092864,0.083938755,0.111008355,0.017532427,0.061294914,0.084332236,0.307047818,0.33375263,0.726225548,0.273774451,2.652641784
WT-PL2,1_SM18,WT,PL,0.003347409,0.119016894,0.170872149,0.038625801,0.060888202,0.023950244,0.152868958,0.430430341,0.610596952,0.389403046,1.568033322
WT-PL3,1_SM18,WT,PL,0.003723101,0.124515204,0.152418672,0.030147226,0.064525465,0.078601486,0.193673306,0.352395539,0.628393432,0.371606567,1.691018103
WT-PL4,1_SM18,WT,PL,0.004026134,0.116236001,0.14201514,0.045195371,0.062939942,0.048389149,0.195419118,0.385779146,0.633613547,0.366386454,1.72935855
WT-PL6,1_SM18,WT,PL,0.003349877,0.130995572,0.155825337,0.047758628,0.063536816,0.074634125,0.185134355,0.338765292,0.601883649,0.398116353,1.511828501
WT-PL10,1_SM18,WT,PL,0.006253632,0.133416729,0.138699885,0.037648243,0.048699372,0.104201964,0.202305708,0.328774466,0.64153577,0.358464229,1.789678629
WT-PL1,2_FL,WT,PL,0,0.072544579,0.161734234,0.030267289,0.205403274,0.089835305,0.089016892,0.351198427,0.530050624,0.469949376,1.127888771
WT-PL2,2_FL,WT,PL,0.00064991,0.063261254,0.165167404,0.039262144,0.165916951,0.095067381,0.096740311,0.373934645,0.566392247,0.433607753,1.306231826
WT-PL3,2_FL,WT,PL,0.000496854,0.096891344,0.145782833,0.026859085,0.138766342,0.118090912,0.197931988,0.275180642,0.591700396,0.408299604,1.4491819
WT-PL4,2_FL,WT,PL,0.003172117,0.111846982,0.150657505,0.065978814,0.158185694,0.090875512,0.157711415,0.261571961,0.513331005,0.486668995,1.05478469
WT-PL6,2_FL,WT,PL,0.003434128,0.136542677,0.200222794,0.040718363,0.202080133,0.078833936,0.094068898,0.244099071,0.420436033,0.579563967,0.72543508
